Title,Type,Agency,Deadline,URL,Expires
Faculty Early Career Development Program (CAREER) ,CAREER,NSF,Mid July,https://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf17537,Yearly
Informatics,Research,PHRMA Foundation,September 1,http://www.phrmafoundation.org/2018-awards/pre-doctoral-fellowship-awards/informatics/,Yearly
Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences (DMS/NIGMS),R01-like,NSF-DMS/NHGRI,September,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,Yearly
Genomic Innovator Award (R35 Clinical Trial Optional),R35,NIH/NHGRI,October 30,https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-18-006.html,2020
Investigator Initiated Research in Computational Genomics and Data Science (R21 Clinical Trial Not Allowed),R21,NIH,"November 16, July 16",https://grants.nih.gov/grants/guide/pa-files/PAR-18-843.html,2021
Investigator Initiated Research in Computational Genomics and Data Science (R01 Clinical Trial Not Allowed),R01,NIH,"November 16, July 16",https://grants.nih.gov/grants/guide/pa-files/PAR-18-844.html,2021
Collaborative Research in Computational Neuroscience (CRCNS) Innovative Approaches to Science and Engineering Research on Brain Function,R01-like,NIH/NSF,November 27,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-18-054.html,2020
Novel Approaches for Relating Genetic Variation to Function and Disease (R01 Clinical Trial Not Allowed),R01,NIH/NHGRI,"Feb 5, June 5, Oct 5",https://grants.nih.gov/grants/guide/pa-files/pa-18-867.html,2021
New Computational Methods for Understanding the Functional Role of DNA Variants that are Associated with Mental Disorders (R01 (Collab) Clinical Trial Not Allowed),R01,NIH/NIMH,"Feb 5, June 5, Oct 5",https://grants.nih.gov/grants/guide/pa-files/PA-18-907.html,2022
New Computational Methods for Understanding the Functional Role of DNA Variants that are Associated with Mental Disorders (R01 Clinical Trial Not Allowed),R01,NIH/NIMH,"Feb 5, June 5, Oct 5",https://grants.nih.gov/grants/guide/pa-files/PA-18-908.html,2022
"Initiative to Maximize Research Education
in Genomics: Courses",R25,NIH/NHGRI,"Jan 25, May 25, Sept 25",https://grants.nih.gov/grants/guide/pa-files/PAR-19-185.html,2022
Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences (DMS/NIGMS),R01-like,NSF,No deadline,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,Yearly
Joint DMS/NLM Initiative on Generalizable Data Science Methods for Biomedical Research (DMS/NLM),R01-like,NSF,No deadline,https://www.nsf.gov/pubs/2019/nsf19500/nsf19500.htm,Yearly
Infrastructure Capacity for Biology (ICB),,NSF,No deadline,https://www.nsf.gov/pubs/2018/nsf18594/nsf18594.htm,
Infrastructure Innovation for Biological Research (IIBR) ,,NSF,No deadline,https://www.nsf.gov/pubs/2018/nsf18595/nsf18595.htm,
Smart and Connected Health(SCH),R01-like,NSF&NIH,December 11,https://www.nsf.gov/pubs/2018/nsf18541/nsf18541.htm,
Research Projects in Cancer Systems Biology (U01 Clinical Trial Optional),U01,NCI,"July, Nov",https://grants.nih.gov/grants/guide/pa-files/par-19-287.html,2021